=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_7_digits.csv
Test Dimension (k): 5012 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.001881
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 15262.362535
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 16.68 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1280519         | Original Mean y_bar:   348.35 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1282213         | Original Mean y_bar:   281.30 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1284917         | Original Mean y_bar:   306.60 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1285877         | Original Mean y_bar:   201.30 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1285943         | Original Mean y_bar:   528.75 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1286099         | Original Mean y_bar:   283.65 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1290811         | Original Mean y_bar:   142.80 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1292099         | Original Mean y_bar:   246.10 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1292857         | Original Mean y_bar:   572.70 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1292953         | Original Mean y_bar:   374.20 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1293821         | Original Mean y_bar:   389.35 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1295747         | Original Mean y_bar:   402.65 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1299841         | Original Mean y_bar:   630.75 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1300307         | Original Mean y_bar:   445.15 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1305643         | Original Mean y_bar:   216.00 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1307437         | Original Mean y_bar:   513.75 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1308343         | Original Mean y_bar:   193.40 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1308491         | Original Mean y_bar:   212.55 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1310759         | Original Mean y_bar:   258.50 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1311367         | Original Mean y_bar:   301.25 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1315591         | Original Mean y_bar:   235.00 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1317683         | Original Mean y_bar:   310.00 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1318729         | Original Mean y_bar:   350.80 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1322021         | Original Mean y_bar:   349.75 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1322389         | Original Mean y_bar:   469.45 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1326307         | Original Mean y_bar:   390.40 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1327369         | Original Mean y_bar:   168.25 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1328179         | Original Mean y_bar:   259.90 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1328563         | Original Mean y_bar:   553.25 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1330253         | Original Mean y_bar:   516.55 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1330519         | Original Mean y_bar:    75.85 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1333273         | Original Mean y_bar:   222.40 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1334233         | Original Mean y_bar:   297.40 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1334401         | Original Mean y_bar:   505.80 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1335343         | Original Mean y_bar:   464.75 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1336463         | Original Mean y_bar:   530.45 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1336901         | Original Mean y_bar:   321.30 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1338377         | Original Mean y_bar:   266.90 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1338653         | Original Mean y_bar:   587.10 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1341701         | Original Mean y_bar:   595.95 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1341841         | Original Mean y_bar:   270.60 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1341863         | Original Mean y_bar:   307.10 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1344829         | Original Mean y_bar:   298.40 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1350257         | Original Mean y_bar:   197.85 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1350911         | Original Mean y_bar:   295.20 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1352203         | Original Mean y_bar:   195.90 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1355983         | Original Mean y_bar:   166.10 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1361593         | Original Mean y_bar:   380.70 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1364323         | Original Mean y_bar:   130.95 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1366031         | Original Mean y_bar:   295.65 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1366543         | Original Mean y_bar:   529.35 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1369733         | Original Mean y_bar:   465.85 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1370459         | Original Mean y_bar:   345.00 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1371031         | Original Mean y_bar:   401.45 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1374953         | Original Mean y_bar:   308.40 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1376009         | Original Mean y_bar:   134.15 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1376449         | Original Mean y_bar:   306.70 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1379291         | Original Mean y_bar:   332.80 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1387961         | Original Mean y_bar:   266.15 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1388381         | Original Mean y_bar:   240.60 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1388887         | Original Mean y_bar:   198.05 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
Prime: 1395551         | Original Mean y_bar:   321.25 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
