=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_9_digits.csv
Test Dimension (k): 4018 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000219
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 11126.392223
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 14.09 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 124308461       | Original Mean y_bar:  1531.35 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 124478551       | Original Mean y_bar:  1933.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 124528081       | Original Mean y_bar:  3186.70 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 124820191       | Original Mean y_bar:  2464.65 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 124997309       | Original Mean y_bar:  2557.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 125166073       | Original Mean y_bar:  3197.10 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 125633437       | Original Mean y_bar:  1155.50 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 125720099       | Original Mean y_bar:  2319.35 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 125773337       | Original Mean y_bar:  3435.85 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 125931761       | Original Mean y_bar:  1714.90 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 126015907       | Original Mean y_bar:  4726.70 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 126585439       | Original Mean y_bar:  2817.30 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 126897689       | Original Mean y_bar:  2846.95 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 126898879       | Original Mean y_bar:  2222.90 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 127158061       | Original Mean y_bar:  3220.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 127168033       | Original Mean y_bar:  1433.10 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 127246279       | Original Mean y_bar:  2759.70 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 127276693       | Original Mean y_bar:  1938.60 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 127877371       | Original Mean y_bar:  1812.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 128313749       | Original Mean y_bar:  3593.50 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 128560073       | Original Mean y_bar:  2776.30 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 128830477       | Original Mean y_bar:  1498.90 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 129074717       | Original Mean y_bar:  2906.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 129134041       | Original Mean y_bar:  2399.75 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 129202837       | Original Mean y_bar:  4120.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 129226883       | Original Mean y_bar:  2351.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 129390367       | Original Mean y_bar:  1701.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 129750979       | Original Mean y_bar:  1830.50 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 130044511       | Original Mean y_bar:   556.95 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 130131451       | Original Mean y_bar:  2684.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 130403927       | Original Mean y_bar:  2086.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 131013809       | Original Mean y_bar:  3830.65 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 131223149       | Original Mean y_bar:  1934.90 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 131788907       | Original Mean y_bar:  3200.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 132029371       | Original Mean y_bar:  1510.65 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 132118139       | Original Mean y_bar:  1323.80 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 132152051       | Original Mean y_bar:  2857.65 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 132220391       | Original Mean y_bar:  1615.35 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 132620273       | Original Mean y_bar:  2820.75 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 132687683       | Original Mean y_bar:  3389.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 132725959       | Original Mean y_bar:  1147.85 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 132885541       | Original Mean y_bar:  3932.70 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 132936997       | Original Mean y_bar:  3574.85 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 133001699       | Original Mean y_bar:  1952.55 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 133219883       | Original Mean y_bar:  1993.15 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
