=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_10_digits.csv
Test Dimension (k): 3484 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000061
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 5269.921079
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 11.96 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1421858959      | Original Mean y_bar: 10615.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1422661789      | Original Mean y_bar:  3390.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1429848997      | Original Mean y_bar: 15072.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1430565251      | Original Mean y_bar:  4489.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1432990147      | Original Mean y_bar:  8086.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1435553311      | Original Mean y_bar: 10058.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1436200679      | Original Mean y_bar:  7873.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1437484379      | Original Mean y_bar: 11303.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1439611861      | Original Mean y_bar:  7792.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1442338757      | Original Mean y_bar:  4583.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1442752811      | Original Mean y_bar:  3822.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1445440357      | Original Mean y_bar:  5707.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1451030071      | Original Mean y_bar:  9789.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
