prime,A,x0,trials
349841,26895,100766,1539
769,746,565,22
64849,50395,24204,237
739,301,88,38
60161,8234,48139,53
4349,3426,1997,426
9473,3485,6079,91
682811,638626,280025,18
21977,4232,11891,292
1559,369,530,62
385537,58031,127382,169
521,378,71,3
367,220,141,47
4127,2238,198,5
8363,1442,2656,9
55009,38939,48936,25
29339,22147,22931,26
577,215,540,65
92041,64597,12636,168
359,70,120,7
557,23,125,56
176629,166297,150698,62
149,39,121,15
5783,1534,3348,10
89417,27139,81843,499
403877,285219,252702,2171
42689,38160,36250,143
5693,240,3405,14
31379,12078,30289,88
577,215,540,65
613,307,484,13
560737,11020,352848,2269
71563,70212,1588,45
431,276,334,28
347,118,132,28
7879,3077,3434,29
36781,29598,11324,35
7193,5682,5528,15
249541,122579,180095,124
5557,2893,1992,42
3217,749,2521,103
313,3,74,2
5647,1587,4139,69
8761,4896,2375,67
912413,340240,209537,569
1931,358,1551,18
2447,1744,1338,33
222349,81156,87460,784
846067,332218,314962,68
771703,473578,104577,1952
101,62,35,70
467,237,68,24
3331,2580,1454,141
8243,4648,7414,97
23203,17537,7254,67
285161,207942,136456,113
6311,3059,1079,274
443,99,387,5
601,315,71,14
911819,905841,400695,84
4253,1359,2117,31
648433,315399,223502,698
6689,3969,1490,7
56999,20153,54573,161
761,77,189,35
631,259,222,1
751,225,270,26
227,74,202,32
61363,14040,321,138
701341,230379,542038,86
6733,1836,3008,7
68669,32253,9798,335
733,376,439,6
9787,9778,3403,52
137,97,11,2
528707,230052,266587,720
167,55,73,17
409,127,258,2
37907,37224,6343,107
2621,2272,779,6
7043,548,2124,50
26849,4130,23159,23
859,421,644,70
80527,2340,28220,594
11657,6915,2755,112
857,277,177,68
227,74,202,32
149371,37232,48869,427
430193,239656,101558,651
503,205,462,1
613,307,484,13
3593,202,1851,9
12373,9824,7301,37
223,208,154,5
103,26,86,55
3433,3284,238,149
30449,379,18674,212
829349,65097,402914,70
953,511,395,15
6079,2428,4506,23
1657,783,297,89
727,313,628,58
46831,44210,21990,3
2083,1599,337,30
486511,272123,348423,18
3361,2358,671,202
787,131,418,6
419,161,19,8
491,435,411,23
45137,34167,30975,2
811,788,335,7
947,903,639,83
568171,143971,127432,230
2617,943,1760,31
55207,31218,18110,24
601,315,71,14
17401,12159,15872,394
4337,4182,3721,74
111919,6946,88197,685
139,122,36,18
3719,2680,526,211
56963,37700,12281,98
322139,210279,200231,250
6803,3430,6785,13
617,243,344,48
587,437,82,32
