=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_11_digits.csv
Test Dimension (k): 3103 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000019
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 8950.196898
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 10.89 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 15385925987     | Original Mean y_bar: 18504.35 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15409901237     | Original Mean y_bar: 19614.30 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15415032407     | Original Mean y_bar: 14304.05 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15452355619     | Original Mean y_bar: 26917.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15469318903     | Original Mean y_bar: 10478.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15497162347     | Original Mean y_bar: 16900.70 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15502963963     | Original Mean y_bar: 14410.75 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15519800423     | Original Mean y_bar: 17426.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15547635827     | Original Mean y_bar: 21682.70 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15550589281     | Original Mean y_bar: 31746.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15572228767     | Original Mean y_bar: 18229.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15572957377     | Original Mean y_bar: 22543.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15578906363     | Original Mean y_bar: 37483.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15579696389     | Original Mean y_bar: 22278.10 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15594024731     | Original Mean y_bar: 11503.10 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15620549339     | Original Mean y_bar: 14402.35 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15657864401     | Original Mean y_bar: 15865.90 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15663126373     | Original Mean y_bar: 19727.95 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15774719341     | Original Mean y_bar: 17266.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15777046361     | Original Mean y_bar: 20486.75 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15782453021     | Original Mean y_bar: 31935.65 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15834726359     | Original Mean y_bar:  9834.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15840704851     | Original Mean y_bar: 21304.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15941824663     | Original Mean y_bar: 14604.75 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
